#Parameters = {cpw=150; L2=0.5; R=4; b=3; sigma_z=0.2; wakelength=100; wakelength0=10000}
#"s / cm"	"Z [Real Part]"
#------------------------
-1.4592149656104	-9.5995029436091e-15
-1.4583295619311	-9.9110920123313e-15
-1.4574441582517	-1.0232492572129e-14
-1.4565587545723	-1.0563993132583e-14
-1.4556733508929	-1.0905898534233e-14
-1.4547879472136	-1.1258529340155e-14
-1.4539025435342	-1.1622218081762e-14
-1.4530171398548	-1.1997315897447e-14
-1.4521317361755	-1.2384181009010e-14
-1.4512463324961	-1.2783177368199e-14
-1.4503609288167	-1.3194686245640e-14
-1.4494755251373	-1.3619111857231e-14
-1.4485901214580	-1.4056879981634e-14
-1.4477047177786	-1.4508435269045e-14
-1.4468193140992	-1.4974237279780e-14
-1.4459339104198	-1.5454759785241e-14
-1.4450485067405	-1.5950477414550e-14
-1.4441631030611	-1.6461870507461e-14
-1.4432776993817	-1.6989434079222e-14
-1.4423922957023	-1.7533666679138e-14
-1.4415068920230	-1.8095080447700e-14
-1.4406214883436	-1.8674201533435e-14
-1.4397360846642	-1.9271568681359e-14
-1.4388506809848	-1.9887733104592e-14
-1.4379652773055	-2.0523264670624e-14
-1.4370798736261	-2.1178756896584e-14
-1.4361944699467	-2.1854813012329e-14
-1.4353090662674	-2.2552058842642e-14
-1.4344236625880	-2.3271147902395e-14
-1.4335382589086	-2.4012755653553e-14
-1.4326528552292	-2.4777591072635e-14
-1.4317674515499	-2.5566379513467e-14
-1.4308820478705	-2.6379858280525e-14
-1.4299966441911	-2.7218779723999e-14
-1.4291112405117	-2.8083910961522e-14
-1.4282258368324	-2.8976038458508e-14
-1.4273404331530	-2.9895967858006e-14
-1.4264550294736	-3.0844525784064e-14
-1.4255696257942	-3.1822555316841e-14
-1.4246842221149	-3.2830928430668e-14
-1.4237988184355	-3.3870545563185e-14
-1.4229134147561	-3.4942332330374e-14
-1.4220280110768	-3.6047246370881e-14
-1.4211426073974	-3.7186276046765e-14
-1.4202572037180	-3.8360441616063e-14
-1.4193718000386	-3.9570797009497e-14
-1.4184863963593	-4.0818430682813e-14
-1.4176009926799	-4.2104464003822e-14
-1.4167155890005	-4.3430048181429e-14
-1.4158301853211	-4.4796362146701e-14
-1.4149447816418	-4.6204620385044e-14
-1.4140593779624	-4.7656079233816e-14
-1.4131739742830	-4.9152037090192e-14
-1.4122885706036	-5.0693842908355e-14
-1.4114031669243	-5.2282891821973e-14
-1.4105177632449	-5.3920618621151e-14
-1.4096323595655	-5.5608497932574e-14
-1.4087469558861	-5.7348056587355e-14
-1.4078615522068	-5.9140867472722e-14
-1.4069761485274	-6.0988546263267e-14
-1.4060907448480	-6.2892760622347e-14
-1.4052053411687	-6.4855219799408e-14
-1.4043199374893	-6.6877678008915e-14
-1.4034345338099	-6.8961942423407e-14
-1.4025491301305	-7.1109868995967e-14
-1.4016637264512	-7.3323361589450e-14
-1.4007783227718	-7.5604368487986e-14
-1.3998929190924	-7.7954888246853e-14
-1.3990075154130	-8.0376980922181e-14
-1.3981221117337	-8.2872769230567e-14
-1.3972367080543	-8.5444443315998e-14
-1.3963513043749	-8.8094255524806e-14
-1.3954659006955	-9.0824522391301e-14
-1.3945804970162	-9.3637624079600e-14
