#Parameters = {L2=0.5; R=4; b=3; cond_ss=1450000; cpw=14; sigma_z=0.02; wakelength=100; wakelength0=1}
#"s / cm"	"Z [Real Part]"
#------------------------
0.28384302478433	0.00047378248654637
0.28467299092570	0.00047167807592539
0.28550295706707	0.00046958859548429
0.28633292320844	0.00046751442155617
0.28716288934982	0.00046545593407721
0.28799285549119	0.00046341336274160
0.28882282163256	0.00046138669335052
0.28965278777393	0.00045937563664429
0.29048275391530	0.00045737968335247
0.29131272005667	0.00045539821992890
0.29214268619805	0.00045343065155598
0.29297265233942	0.00045147652744917
0.29380261848079	0.00044953562956092
0.29463258462216	0.00044760799346851
0.29546255076353	0.00044569385615487
0.29629251690490	0.00044379353202154
0.29712248304628	0.00044190725353410
0.29795244918765	0.00044003503942871
0.29878241532902	0.00043817665716555
0.29961238147039	0.00043633168036402
0.30044234761176	0.00043449961000955
0.30127231375313	0.00043268000716667
0.30210227989450	0.00043087259219284
0.30293224603588	0.00042907728948239
0.30376221217725	0.00042729418687901
0.30459217831862	0.00042552344698709
0.30542214445999	0.00042376522168727
0.30625211060136	0.00042201957620266
0.30708207674273	0.00042028643161238
0.30791204288411	0.00041856554950172
0.30874200902548	0.00041685657787056
0.30957197516685	0.00041515912822889
0.31040194130822	0.00041347285773286
0.31123190744959	0.00041179755662040
0.31206187359096	0.00041013319975372
0.31289183973234	0.00040847991501853
0.31372180587371	0.00040683789134318
0.31455177201508	0.00040520728623589
0.31538173815645	0.00040358815150220
0.31621170429782	0.00040198038678448
0.31704167043919	0.00040038374034719
0.31787163658057	0.00039879787393450
0.31870160272194	0.00039722244365944
0.31953156886331	0.00039565713858687
0.32036153500468	0.00039410171338802
0.32119150114605	0.00039255602361208
0.32202146728742	0.00039102002145833
0.32285143342880	0.00038949371457468
0.32368139957017	0.00038797714556733
0.32451136571154	0.00038647040537325
0.32534133185291	0.00038497362155681
0.32617129799428	0.00038348692370710
0.32700126413565	0.00038201040999103
0.32783123027702	0.00038054409954403
0.32866119641840	0.00037908786406184
0.32949116255977	0.00037764137555478
0.33032112870114	0.00037620414723247
0.33115109484251	0.00037477565730563
0.33198106098388	0.00037335547564890
0.33281102712525	0.00037194336874087
0.33364099326663	0.00037053937177993
0.33447095940800	0.00036914375941866
0.33530092554937	0.00036775691543587
0.33613089169074	0.00036637919152582
0.33696085783211	0.00036501078988036
0.33779082397348	0.00036365169631506
0.33862079011486	0.00036230167118637
0.33945075625623	0.00036096029665278
0.34028072239760	0.00035962709556861
0.34111068853897	0.00035830165805354
0.34194065468034	0.00035698373041061
0.34277062082171	0.00035567327013428
0.34360058696309	0.00035437043067715
0.34443055310446	0.00035307545817457
0.34526051924583	0.00035178856137417
0.34609048538720	0.00035050982617803
0.34692045152857	0.00034923919196593
0.34775041766994	0.00034797649353656
0.34858038381132	0.00034672152802707
0.34941034995269	0.00034547411464662
0.35024031609406	0.00034423413926547
0.35107028223543	0.00034300154200175
0.35190024837680	0.00034177626958508
0.35273021451817	0.00034055823962875
0.35356018065954	0.00033934732745320
0.35439014680092	0.00033814337694644
0.35522011294229	0.00033694623234025
0.35605007908366	0.00033575578836505
0.35688004522503	0.00033457204303035
0.35771001136640	0.00033339511981264
0.35853997750777	0.00033222523288093
0.35936994364915	0.00033106261920350
0.36019990979052	0.00032990745533730
0.36102987593189	0.00032875976057369
0.36185984207326	0.00032761933275512
0.36268980821463	0.00032648575465154
0.36351977435600	0.00032535848082736
0.36434974049738	0.00032423696961194
0.36517970663875	0.00032312082350459
0.36600967278012	0.00032200991798457
0.36683963892149	0.00032090445102285
0.36766960506286	0.00031980488136222
0.36849957120423	0.00031871178982243
0.36932953734561	0.00031762570501601
0.37015950348698	0.00031654693465960
0.37098946962835	0.00031547545540502
0.37181943576972	0.00031441090801837
0.37264940191109	0.00031335271125068
0.37347936805246	0.00031230024088069
0.37430933419384	0.00031125299095936
0.37513930033521	0.00031021068790980
0.37596926647658	0.00030917331814983
0.37679923261795	0.00030814105588105
0.37762919875932	0.00030711416241943
0.37845916490069	0.00030609290659344
0.37928913104206	0.00030507751585982
0.38011909718344	0.00030406813888778
0.38094906332481	0.00030306482074354
0.38177902946618	0.00030206749351743
0.38260899560755	0.00030107597828017
0.38343896174892	0.00030009002018069
0.38426892789029	0.00029910934792502
0.38509889403167	0.00029813375253321
0.38592886017304	0.00029716314815266
0.38675882631441	0.00029619757218418
0.38758879245578	0.00029523714791142
0.38841875859715	0.00029428201059475
0.38924872473852	0.00029333222183536
0.39007869087990	0.00029238773300167
0.39090865702127	0.00029144840635760
0.39173862316264	0.00029051406930041
0.39256858930401	0.00028958458577669
0.39339855544538	0.00028865991025954
0.39422852158675	0.00028774008051755
0.39505848772813	0.00028682516860191
0.39588845386950	0.00028591521766541
0.39671842001087	0.00028501020144101
0.39754838615224	0.00028411003903035
0.39837835229361	0.00028321463758334
0.39920831843498	0.00028232394339990
0.40003828457636	0.00028143797614984
